LOCATION,LANTITUDE,LONGTUDE,DESC,SOURCE,PRECISION
Galleria Giuseppe de Nittis   Barletta,41.3198891,16.2791996,Barletta   Pugl.   Italy,Bing Maps,city/town
Galleria Nazionale d'Arte Moderna e Contemporanea   Rome,41.9032211,12.4956503,Rome   Laz.   Italy,Bing Maps,city/town
Galleria Palatina (Palazzo Pitti)   Florence,43.76509090,11.24985500,Palazzo Pitti   Tosc.   Italy,Bing Maps,LandmarkBuilding
Galleria Palatina (Palazzo Pitti)   Florence,43.7650909,11.249855,Palazzo Pitti   Tosc.   Italy,Bing Maps,LandmarkBuilding
Gallerie dell'Accademia   Venice,45.4381218,12.3181601,Venice   Ven.   Italy,Bing Maps,city/town
Gallery of Fine Arts   Columbus,39.96199040,-83.00274660,Columbus   OH,Bing Maps,city/town
Gemäldegalerie   Dresden,51.0536308,13.7408104,Dresden   SN   Germany,Bing Maps,city/town
Gemeentemuseum   The Hague,52.0672989,4.28899,The Hague   Netherlands,Bing Maps,city/town
Germanisches Nationalmuseum   Nuremberg,49.45434190,11.07349010,Nuremberg   BY   Germany,Bing Maps,city/town
Goethe-Museum   Frankfurt,50.1120796,8.6834097,Frankfurt   HE   Germany,Bing Maps,city/town
Graphische Sammlung Albertina   Vienna,48.2084274,16.377821,Vienna,Bing Maps,state/province
Groeninge Museum   Bruges,51.20846940,3.22449990,Bruges   Belgium,Bing Maps,city/town
Groninger Museum voor Stad en Lande   Groningen,53.1906013,6.5697098,Groningen   Netherlands,Bing Maps,city/town
Guildhall Library and Art Gallery   London,51.43993,0.267955,Town Square Crescent   Greenhithe   DA9 9,Bing Maps,street
Haags Gemeentemuseum   The Hague,52.0672989,4.28899,The Hague   Netherlands,Bing Maps,city/town
Harris Museum and Art Gallery   Preston,53.7578888,-2.7057199,Preston   Lancashire   United Kingdom,Bing Maps,city/town
Herman Ottó Museum   Miskolc,48.1055717,20.7905807,Miskolc   Hungary,Bing Maps,city/town
Herman Ottó Múzeum   Miskolc,48.1055717,20.7905807,Miskolc   Hungary,Bing Maps,city/town
Hill-Stead Museum   Farmington,41.7221985,-72.8189011,Hill-Stead Museum   CT,Bing Maps,HistoricalSite
Hiroshima Museum of Art   Hiroshima,34.3927269,132.4523773,Hiroshima Peace Memorial Park   Japan,Bing Maps,Park
Hirschsprung Collection   Copenhagen,55.67652890,12.58197020,Copenhagen   Denmark,Bing Maps,city/town
Hispanic Society of America   New York,42.9370804,-75.6106949,New York,Bing Maps,state/province
Historical and Art Museum   Serpukhov,54.9211998,37.4067993,Serpukhov   Russia,Bing Maps,city/town
Historical Museum of Budapest   Budapest,47.4997215,19.0550804,Budapest   Hungary,Bing Maps,city/town
Historical Picture Gallery   Hungarian National Museum   Budapest,47.4997215,19.0550804,Budapest   Hungary,Bing Maps,city/town
Historisch Museum   Amsterdam,52.3348007,4.8705301,Amsterdam   Netherlands,Bing Maps,city/town
Historisches Museum der Stadt Wien   Vienna,48.2025414,16.3687992,Vienna   Austria,Bing Maps,city/town
Historisches Museum   Vienna,48.2084274,16.377821,Vienna,Bing Maps,state/province
Hungarian Academy of Sciences   Budapest,37.7697296,-122.466095,California Academy of Sciences   CA,Bing Maps,PointOfInterest
Hungarian National Gallery   Budapest,47.4997215,19.0550804,Budapest   Hungary,Bing Maps,city/town
Hungarian National Museum   Budapest,47.4997215,19.0550804,Budapest   Hungary,Bing Maps,city/town
Hunterian Art Gallery   University of Glasgow   Glasgow,55.8824234,-4.2768321,University of Glasgow   United Kingdom,Bing Maps,HigherEducationFacility
Infirmerie Marie-Thérèse   Paris,48.8569298,2.3412001,Paris   Paris   France,Bing Maps,city/town
Institute of Arts   Detroit,42.3316803,-83.0479965,Detroit   MI,Bing Maps,city/town
Institute of Arts   Detroit,42.33168030,-83.04799650,Detroit   MI,Bing Maps,city/town
Institute of Arts   Minneapolis,44.97903060,-93.26493070,Minneapolis   MN,Bing Maps,city/town
Institute of Arts   Minneapolis,44.9790306,-93.2649307,Minneapolis   MN,Bing Maps,city/town
